iter	Passed	Remaining
696	809	351
697	810	350
698	811	349
699	812	348
700	813	347
701	814	345
702	816	345
703	817	343
704	818	342
705	819	341
706	819	339
707	820	338
708	821	337
709	822	335
710	822	334
711	823	333
712	824	331
713	825	330
714	826	329
715	827	328
716	828	327
717	829	325
718	831	324
719	832	323
720	833	322
721	833	321
722	834	319
723	835	318
724	836	317
725	836	315
726	837	314
727	838	313
728	839	311
729	840	310
730	841	309
731	842	308
732	844	307
733	845	306
734	846	305
735	846	303
736	847	302
737	848	301
738	849	299
739	850	298
740	851	297
741	851	296
742	852	295
743	853	293
744	854	292
745	855	291
746	856	290
747	857	288
748	858	287
749	859	286
750	860	285
751	861	283
752	861	282
753	862	281
754	863	280
755	864	279
756	865	277
757	865	276
758	866	275
759	867	273
760	868	272
761	869	271
762	869	270
763	871	269
764	873	268
765	874	267
766	875	265
767	876	264
768	876	263
769	877	262
770	878	260
771	879	259
772	880	258
773	880	257
774	881	255
775	882	254
776	883	253
777	884	252
778	884	250
779	886	249
780	887	248
781	888	247
782	889	246
783	890	245
784	891	244
785	891	242
786	892	241
787	893	240
788	894	239
789	895	237
790	896	236
791	896	235
792	897	234
793	898	233
794	899	231
795	900	230
796	901	229
797	903	228
798	904	227
799	905	226
800	905	225
801	906	223
802	907	222
803	908	221
804	909	220
805	910	219
806	910	217
807	911	216
808	912	215
809	913	214
810	914	213
811	914	211
812	917	210
813	918	209
814	919	208
815	920	207
816	921	206
817	922	205
818	923	203
819	923	202
820	924	201
821	925	200
822	926	199
823	927	198
824	927	196
825	928	195
826	929	194
827	931	193
828	932	192
829	933	191
830	934	190
831	935	188
832	936	187
833	937	186
834	938	185
835	939	184
836	940	183
837	940	181
838	941	180
839	942	179
840	943	178
841	944	177
842	944	175
843	946	174
844	947	173
845	948	172
846	949	171
847	949	170
848	951	169
849	952	168
850	953	166
851	954	165
852	955	164
853	956	163
854	957	162
855	958	161
856	958	160
857	959	158
858	962	157
859	964	156
860	965	155
861	966	154
862	967	153
863	967	152
864	968	151
865	969	150
866	970	148
867	971	147
868	972	146
869	972	145
870	973	144
871	974	143
872	976	141
873	977	140
874	978	139
875	978	138
876	979	137
877	980	136
878	981	135
879	982	133
880	983	132
881	984	131
882	984	130
883	985	129
884	986	128
885	987	127
886	988	125
887	988	124
888	989	123
889	990	122
890	991	121
891	993	120
892	994	119
893	995	118
894	996	116
895	996	115
896	997	114
897	998	113
898	999	112
899	999	111
900	1000	109
901	1001	108
902	1002	107
903	1003	106
904	1003	105
905	1004	104
906	1005	103
907	1006	102
908	1007	100
909	1008	99
910	1009	98
911	1010	97
912	1011	96
913	1011	95
914	1012	94
915	1013	92
916	1014	91
917	1015	90
918	1015	89
919	1016	88
920	1017	87
921	1018	86
922	1018	84
923	1019	83
924	1020	82
925	1022	81
926	1025	80
927	1026	79
928	1027	78
929	1028	77
930	1028	76
931	1029	75
932	1030	74
933	1031	72
934	1031	71
935	1032	70
936	1033	69
937	1034	68
938	1035	67
939	1036	66
940	1037	65
941	1038	63
942	1039	62
943	1040	61
944	1041	60
945	1041	59
946	1042	58
947	1043	57
948	1044	56
949	1045	55
950	1046	53
951	1047	52
952	1047	51
953	1048	50
954	1049	49
955	1052	48
956	1053	47
957	1054	46
958	1055	45
959	1056	44
960	1057	42
961	1058	41
962	1059	40
963	1060	39
964	1061	38
965	1061	37
966	1062	36
967	1063	35
968	1064	34
969	1065	32
970	1066	31
971	1067	30
972	1068	29
973	1069	28
